25*70*25
4,2
4,3
4,4
4,10
4,18
4,22
4,27
4,28
4,29
4,30
4,31
4,38
4,39
4,40
4,44
4,45
4,46
4,47
4,48
5,1
5,9
5,11
5,17
5,19
5,21
5,23
5,27
5,37
5,41
5,44
6,0
6,9
6,11
6,17
6,19
6,21
6,23
6,27
6,36
6,42
6,44
7,0
7,8
7,12
7,16
7,20
7,24
7,27
7,28
7,29
7,36
7,42
7,44
7,45
7,46
8,0
8,4
8,5
8,8
8,9
8,10
8,11
8,12
8,16
8,24
8,27
8,36
8,42
8,44
9,1
9,5
9,7
9,13
9,15
9,25
9,27
9,37
9,41
9,44
10,2
10,3
10,4
10,5
10,7
10,13
10,15
10,25
10,27
10,28
10,29
10,30
10,31
10,38
10,39
10,40
10,44
16,2
16,9
16,10
16,11
16,14
16,15
16,16
16,17
16,18
16,20
16,21
16,22
16,23
16,24
17,2
17,10
17,14
17,20
18,2
18,10
18,14
18,20
19,2
19,10
19,14
19,15
19,16
19,20
19,21
19,22
20,2
20,10
20,14
20,20
21,2
21,10
21,14
21,20
22,2
22,3
22,4
22,5
22,6
22,9
22,10
22,11
22,14
22,20
22,21
22,22
22,23
22,24
